Tree.name,Species,Median_S_upper,Median_W_upper,Median_diff_upper,Median_S_median,Median_W_median,Median_diff_median,Median_S_lower,Median_W_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Leiothrix_lutea,Red-billed Leiothrix,2042.65,2051.25,-12.25,1332,1365,-33,666,666,0,1376.65,-0.005997112,-0.024774775,0
Halcyon_smyrnensis,White-throated Kingfisher,1579,1585,-8,443,403,43,272,262,10,1307,-0.005066498,0.097065463,0.036764706
Dendrocopos_auriceps,Brown-fronted Woodpecker,2276.075,2291.2,-11.375,1764.5,1767.5,-2,1177.45,1016,166.475,1098.625,-0.004997638,-0.001133466,0.141386046
Columba_livia,Rock Pigeon,2100,2108,-8,638,638,0,272,272,0,1828,-0.003809524,0,0
Megalaima_lineata,Lineated Barbet,867,869.9,-2.225,388,441,-43,311,307,0,556,-0.002566321,-0.110824742,0
Athene_brama,Spotted Owlet,827,827,0,388,375,20,272,262.95,9.05,555,0,0.051546392,0.033272059
Dendrocitta_formosae,Gray Treepie,2417,2417,0,1498,1292,198,602,446,156,1815,0,0.132176235,0.259136213
Enicurus_maculatus,Spotted Forktail,2417,2417,0,2173,1653,520,1249.5,947.325,289.15,1167.5,0,0.239300506,0.231412565
Garrulax_albogularis,White-throated Laughingthrush,2417,2417,0,2085,2011,74,1327.3,1248,37.1,1089.7,0,0.035491607,0.02795148
Garrulus_lanceolatus,Black-headed Jay,2417,2417,0,2035,1952,83,1365,1332,33,1052,0,0.040786241,0.024175824
Oriolus_traillii,Maroon Oriole,2417,2417,0,1974,1332,679,606.2,370.5,242.225,1810.8,0,0.343971631,0.399579347
Otus_spilocephalus,Mountain Scops-Owl,2417,2417,0,1946,2108,-162,1413,1430.45,-17.45,1004,0,-0.083247688,-0.012349611
